"Performance.KDTMean","Performance.MAMean","Performance.MVMean","Performance.TBCMean","Performance.DDCMean","Performance.DMSMean","Performance.AEDMean","Performance.ADMSLMean","FatigueLevel","Performance.Task"
0.685482820785172,0.0363465190813412,0.0416776443190079,-0.0855419581268566,0.0990029139042373,0.0000581859945451928,-0.00710984118095508,0.0160090679376872,4,"Work"
0.021535506048881,0.0382273240672572,0.0422739982211187,-0.0548920003091654,-0.0164469827004551,0.00206655863440266,0.0137124398726832,0.0582742257522399,4,"Work"
0.00174104650738096,0.0466067917730238,0.047566659422426,-0.0951143201964242,0.523803685595579,0.00827619980467307,-0.0236895671940132,0.113275659681419,5,"Work"
-0.000330924743827762,0.0522052493192471,0.0580210959524366,-0.0816946986671379,0.00776610983844675,-0.0105304332759946,0.0228862321812727,-0.0111127830973426,5,"Work"
0.00756405768569521,0.0772870978109888,0.0806715420873738,-0.0781750548943283,0.0470516552075461,0.0185215986424328,0.0608346547703508,0.0841712104627935,5,"Work"
0.00218655895955788,0.0310778919347412,0.0359263996451301,-0.100597522632903,-0.00854433414332332,-0.0049336079445042,-0.0208781540080851,0,5,"Work"
0.00248669264669377,-0.0293369343402104,-0.0193381105896335,-0.0987916852637693,-0.0604634608352427,-0.00704017669707589,0.0461523749027053,-0.0368772042200599,5,"Work"
0.074282284259343,0.017823444092998,0.0319113254038107,-0.0631294991215412,-0.045115741530368,-0.000161296771615637,-0.0307607935393232,-0.0010940401113286,3,"Work"
0.000795446588518727,0.00831095923283426,0.0246995645909643,-0.105763820686484,0.027884929591276,-0.00894013926673509,0.02759001275231,-0.0314628569938723,3,"Work"
0.0161428107561512,-0.0345997015555142,-0.0138724031287807,-0.0774750618874479,0.0850320049948038,0.00215916385894963,-0.0252694825701573,-0.0111871228140112,3,"Work"
-0.00121578729054012,-0.0292618091394868,-0.0234331909196312,-0.104800004252348,0.0551736885439819,-0.0064167405354821,-0.0262143226972596,-0.020215797501348,4,"Work"
0.000968846117101773,0.0371354490963589,0.0485926720515966,-0.0640330035382528,-0.0541092487028219,-0.00506685269365313,-0.00264772377511572,-0.01632312240313,3,"Work"
-0.000205898833057895,0.0306281305923065,0.0312981914018271,-0.104903055089093,-0.00501773097264314,0.02007343822411,-0.0192964296713507,0.0498026049483583,4,"Work"
0.0225014924523407,0.0567146894875503,0.0769102110101739,-0.102443236037568,0.199151012048501,-0.0080675389308825,-0.01271475466573,-0.0279625532301442,5,"Work"
